"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"14RN01PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14RN27PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14RR28PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14VE04PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14XC71PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14XL36PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14XL89PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15NC71PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15NL09PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15NL71PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15RA15PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15RC05PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15RE04PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15RH53PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15RM08PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15RM58PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15RN03PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15RR22PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15RR41PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15RR60PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15RT07PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15RU11PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15RV01PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15RV50PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15XC54PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"15XL49PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"16NC07PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"16NC75PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"16RC01PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"16RE18PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"16XC14PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"16XC70PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"17NC04PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"17NC65PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"17NC80PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"17RA10PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"17RC01PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"17XC08PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"17XC49PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"18NC20PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"18NC52PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"18NC52PM02",NA,NA,NA,NA,"07","Saturday","16","12"
"18NC80PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"18RA28PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"18RA66PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"18RC06PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"18RL09PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"18RL29PM01",NA,NA,NA,"85","07","Saturday","16","12"
"18RM17PM01",NA,NA,NA,"99","07","Saturday","16","12"
"18RN69PM01",NA,NA,NA,"60","07","Saturday","16","12"
"18RT11PM01",NA,NA,NA,"95","07","Saturday","16","12"
"18RU04PM01",NA,NA,NA,"99","07","Saturday","16","12"
"18RV21PM01",NA,NA,NA,"84","07","Saturday","16","12"
"18XC11PM01",NA,NA,NA,"97","07","Saturday","16","12"
"18XC46PM01",NA,NA,NA,"104","07","Saturday","16","12"
"18XC82PM01",NA,NA,NA,"87","07","Saturday","16","12"
"19XC40PM01",NA,NA,NA,"92","07","Saturday","16","12"
"19XC80PM01",NA,NA,NA,"88","07","Saturday","16","12"
"90EL00PM01",NA,NA,NA,"88","07","Saturday","16","12"
"90EL16PM01",NA,NA,NA,"87","07","Saturday","16","12"
"90EL38PM01",NA,NA,NA,"92","07","Saturday","16","12"
"90EL69PM01",NA,NA,NA,"89","07","Saturday","16","12"
"90ET09PM01",NA,NA,NA,"79","07","Saturday","16","12"
"90ET43PM01",NA,NA,NA,"84","07","Saturday","16","12"
"90ET58PM01",NA,NA,NA,"76","07","Saturday","16","12"
"90ET93PM01",NA,NA,NA,"90","07","Saturday","16","12"
